127.0.0.1 - - [27/Dec/2017:11:13:13 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:16 +0800] "GET /ssi/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:16 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3599
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:16 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:17 +0800] "GET /ssi/score/score/notNeedAuth_score.do HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:17 +0800] "GET /ssi/img/imgCode.do?random=0.685459018529979 HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:18 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:26 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:26 +0800] "GET /ssi/score/score/notNeedAuth_score.do HTTP/1.1" 200 7793
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:27 +0800] "GET /ssi/layout/north.do?_=1514344407049 HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:27 +0800] "GET /ssi/layout/south.do?_=1514344407050 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:27 +0800] "GET /ssi/education/student/notNeedAuth_queryStudentInfo.do HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:27 +0800] "POST /ssi/score/score/notNeedAuth_datagrid.do HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:27 +0800] "GET /ssi/img/student/zrgj_logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:47 +0800] "GET /ssi/score/scorePapers/notNeedAuth_scorePapers.do?querytestid=9fc6b532-af0a-4880-852d-c09b7ca3eb00 HTTP/1.1" 200 4459
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:13:48 +0800] "GET /ssi/score/scorePapers/notNeedAuth_data.do HTTP/1.1" 200 18444
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:14:01 +0800] "GET /ssi/settings/papers/notNeedAuth_papers.do?testid=c6db313a-b2c7-4645-ab8b-a770edbb197c HTTP/1.1" 200 8266
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:14:01 +0800] "GET /ssi/settings/papers/notNeedAuth_data.do HTTP/1.1" 200 16833
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:14:53 +0800] "GET /ssi/settings/papers/notNeedAuth_papers.do?testid=c6db313a-b2c7-4645-ab8b-a770edbb197c HTTP/1.1" 200 8266
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:14:53 +0800] "GET /ssi/settings/papers/notNeedAuth_data.do HTTP/1.1" 200 16833
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:08 +0800] "POST /ssi/settings/papers/notNeedAuth_submit.do HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:20 +0800] "POST /ssi/score/score/notNeedAuth_datagrid.do HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:24 +0800] "GET /ssi/score/scorePapers/notNeedAuth_scorePapers.do?querytestid=c6db313a-b2c7-4645-ab8b-a770edbb197c HTTP/1.1" 200 4459
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:24 +0800] "GET /ssi/score/scorePapers/notNeedAuth_data.do HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:30 +0800] "GET /ssi/score/scorePapers/notNeedAuth_scorePapers.do?querytestid=9fc6b532-af0a-4880-852d-c09b7ca3eb00 HTTP/1.1" 200 4459
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:31 +0800] "GET /ssi/score/scorePapers/notNeedAuth_data.do HTTP/1.1" 200 18444
0:0:0:0:0:0:0:1 - - [27/Dec/2017:11:16:40 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/bootstrap/easyui.css HTTP/1.1" 200 58828
