127.0.0.1 - - [17/Jan/2018:08:48:54 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:48:56 +0800] "GET /web/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:48:57 +0800] "GET /web/login.jsp HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:48:57 +0800] "GET /web/Css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:48:57 +0800] "GET /web/Js/ckform.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:48:57 +0800] "GET /web/Js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:48:57 +0800] "GET /web/Js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:48:57 +0800] "GET /web/Css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:48:57 +0800] "GET /web/Js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:48:57 +0800] "GET /web/Css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:03 +0800] "POST /web/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/index.jsp HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/css/dpl-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/css/bui-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/css/main-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/js/jquery-1.8.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/js/bui-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/js/common/main-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/js/config-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/img/main-nav-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/img/icon1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/Images/T1GgTxXm4qXXaGyjny-500-188.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/Images/T1SLHBXaXmXXXF.Nbe-140-120.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/assets/img/left-slib.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/User/index.jsp?method=doQuery HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:04 +0800] "GET /web/Css/page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:05 +0800] "POST /web/user HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:13 +0800] "GET /web/User/add.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:16 +0800] "POST /web/user HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:16 +0800] "GET /web/User/index.jsp?method=doQuery HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:16 +0800] "POST /web/user HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:19 +0800] "POST /web/user HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:20 +0800] "GET /web/User/add.jsp HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:22 +0800] "GET /web/User/index.jsp?method=doQuery HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:22 +0800] "POST /web/user HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:23 +0800] "GET /web/Node/index.jsp HTTP/1.1" 404 204
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:25 +0800] "GET /web/Node/index.jsp HTTP/1.1" 404 204
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:26 +0800] "GET /web/Node/index.jsp HTTP/1.1" 404 204
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:28 +0800] "GET /web/Node/index.jsp HTTP/1.1" 404 204
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:29 +0800] "GET /web/Node/index.jsp HTTP/1.1" 404 204
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:30 +0800] "GET /web/Node/index.jsp HTTP/1.1" 404 204
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:34 +0800] "GET /web/login?doAction=loginOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:34 +0800] "GET /web/loginOut.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [17/Jan/2018:08:49:36 +0800] "GET /web/login.jsp HTTP/1.1" 200 1842
