127.0.0.1 - - [14/Jun/2018:13:40:46 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:05 +0800] "GET /ssi/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:07 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:17 +0800] "GET /ssi/img/imgCode.do?random=0.20975687135551901 HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:18 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:25 +0800] "POST /ssi/page/login.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:26 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:26 +0800] "GET /ssi/layout/north.do?_=1528954886402 HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:26 +0800] "GET /ssi/layout/west.do?_=1528954886403 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:26 +0800] "GET /ssi/layout/center.do?_=1528954886404 HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:26 +0800] "GET /ssi/layout/south.do?_=1528954886405 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:26 +0800] "POST /ssi/admin/menu/notNeedAuth_menuTree.do HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:30 +0800] "GET /ssi/question/question/question.do HTTP/1.1" 200 10800
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:30 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:30 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:30 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:30 +0800] "POST /ssi/question/type/notNeedAuth_combobox.do HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:30 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:30 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/filter.png HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:30 +0800] "POST /ssi/question/question/datagrid.do HTTP/1.1" 200 17458
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:33 +0800] "GET /ssi/settings/settings/settings.do HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:33 +0800] "POST /ssi/settings/settings/datagrid.do HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:41:38 +0800] "GET /ssi/settings/settings/settingsEdit.do?_=1528954886406 HTTP/1.1" 200 1730
192.168.1.42 - - [14/Jun/2018:13:41:42 +0800] "GET /ssi/page/index.do HTTP/1.1" 200 724
192.168.1.42 - - [14/Jun/2018:13:41:43 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.1.42 - - [14/Jun/2018:13:41:45 +0800] "GET /ssi/page/login.do HTTP/1.1" 200 3472
192.168.1.42 - - [14/Jun/2018:13:41:45 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 200 95957
192.168.1.42 - - [14/Jun/2018:13:41:45 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
192.168.1.42 - - [14/Jun/2018:13:41:45 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 200 389242
