127.0.0.1 - - [30/Aug/2018:09:17:08 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:30 +0800] "GET /asset/ HTTP/1.1" 200 4124
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:31 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:31 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 200 58597
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:31 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:31 +0800] "GET /asset/jslib/util.js HTTP/1.1" 200 2043
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:31 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:33 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:34 +0800] "POST /asset/imgAction!doNotNeedSession_loadImgCode.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:34 +0800] "POST /asset/imgAction!doNotNeedSession_loadImgCode.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:35 +0800] "POST /asset/imgAction!doNotNeedSession_loadImgCode.action HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:35 +0800] "GET /asset/imgAction!doNotNeedSession_imgCode.action?r=0.4969199664232483 HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:35 +0800] "POST /asset/imgAction!doNotNeedSession_loadImgCode.action HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:53 +0800] "POST /asset/adminAction!doNotNeedSession_login.action HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:53 +0800] "GET /asset/adminAction!admin.action HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:54 +0800] "GET /asset/jslib/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:54 +0800] "GET /asset/img/u2.png HTTP/1.1" 200 34714
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:54 +0800] "GET /asset/img/bg.png HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:54 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:54 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/default/images/layout_arrows.png HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:55 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/icons/mini_refresh.png HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:55 +0800] "GET /asset/accountAction!account.action HTTP/1.1" 200 4687
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:56 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:56 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/default/images/datagrid_icons.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:56 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:56 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/icons/no.png HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:56 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:56 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:56 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:56 +0800] "POST /asset/accountAction!findAccouts.action HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:58 +0800] "GET /asset/accountAction!accountEdit.action?accountid=201800000001 HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:17:58 +0800] "GET /asset/accountAction!findAccount.action?accountid=201800000001 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:18:01 +0800] "GET /asset/accountAction!accountEdit.action?accountid=201800000002 HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:18:01 +0800] "GET /asset/accountAction!findAccount.action?accountid=201800000002 HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:18:04 +0800] "GET /asset/accountAction!accountEdit.action?accountid=201800000003 HTTP/1.1" 200 3644
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:18:04 +0800] "GET /asset/accountAction!findAccount.action?accountid=201800000003 HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:22:34 +0800] "GET /asset/accountAction!accountEdit.action?accountid=201800000001 HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:22:34 +0800] "GET /asset/accountAction!findAccount.action?accountid=201800000001 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:22:37 +0800] "GET /asset/accountAction!account.action HTTP/1.1" 200 4687
0:0:0:0:0:0:0:1 - - [30/Aug/2018:09:22:37 +0800] "GET /asset/jslib/jquery-easyui-1.4.5/themes/default/images/pagination_icons.png HTTP/1.1" 304 -
