127.0.0.1 - - [30/Nov/2018:09:06:35 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /ssm/ HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /ssm/resources/jquery-easyui-1.6.8/themes/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /ssm/resources/jquery-easyui-1.6.8/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /ssm/resources/jquery-easyui-1.6.8/themes/default/easyui.css HTTP/1.1" 200 71744
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /ssm/resources/jquery-easyui-1.6.8/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /ssm/resources/jquery-easyui-1.6.8/jquery.easyui.min.js HTTP/1.1" 200 452985
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /ssm/resources/jquery-easyui-1.6.8/themes/icons/lock.png HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /ssm/resources/jquery-easyui-1.6.8/themes/icons/man.png HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /ssm/resources/jquery-easyui-1.6.8/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:37 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:06:46 +0800] "POST /ssm/user/login HTTP/1.1" 200 1977
