127.0.0.1 - - [15/May/2019:16:24:29 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:30 +0800] "GET /app/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:31 +0800] "GET /app/page/login.do HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:31 +0800] "GET /app/css/animate.css HTTP/1.1" 200 66203
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:31 +0800] "GET /app/css/style.css HTTP/1.1" 200 197556
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:31 +0800] "GET /app/vendors/jquery/dist/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:31 +0800] "GET /app/vendors/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:31 +0800] "GET /app/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:31 +0800] "GET /app/vendors/validator/jquery.validate.min.js HTTP/1.1" 200 21090
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:31 +0800] "GET /favicon.ico HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:32 +0800] "GET /app/img/img.do HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:37 +0800] "POST /app/img/imgCode.do HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "POST /app/page/userLogin.do HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/page/index.do HTTP/1.1" 200 4542
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/build/css/custom.min.css HTTP/1.1" 200 62676
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/build/js/custom.min.js HTTP/1.1" 200 72443
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/nprogress/nprogress.css HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/nprogress/nprogress.js HTTP/1.1" 200 11565
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/fastclick/lib/fastclick.js HTTP/1.1" 200 25965
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/images/img.jpg HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/settings/test/test.do HTTP/1.1" 200 9444
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/build/js/custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/validator/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/settings/vendors/iCheck/skins/flat/green.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/datatables.net-fixedheader-bs/css/fixedHeader.bootstrap.min.css HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/settings/vendors/iCheck/icheck.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/datatables.net-scroller-bs/css/scroller.bootstrap.min.css HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/datatables.net-buttons-bs/css/buttons.bootstrap.min.css HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/datatables.net-responsive-bs/css/responsive.bootstrap.min.css HTTP/1.1" 200 3921
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/datatables.net-bs/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4216
0:0:0:0:0:0:0:1 - - [15/May/2019:16:24:38 +0800] "GET /app/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js HTTP/1.1" 200 939
