127.0.0.1 - - [29/Jul/2019:13:35:20 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:24 +0800] "GET /mvc/ HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/css/style.default.css HTTP/1.1" 200 123537
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/js/plugins/jquery-ui-1.8.16.custom.min.js HTTP/1.1" 200 210463
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/js/plugins/jquery-1.7.min.js HTTP/1.1" 200 94020
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/js/plugins/jquery.cookie.js HTTP/1.1" 200 1782
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/js/custom/general.js HTTP/1.1" 200 9570
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/js/custom/index.js HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/js/plugins/jquery.uniform.min.js HTTP/1.1" 200 9323
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/fonts/roboto.css HTTP/1.1" 200 7125
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/css/plugins/jquery.alerts.css HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/css/plugins/jquery.ui.autocomplete.css HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/css/plugins/jquery.ui.css HTTP/1.1" 200 9330
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/css/plugins/uniform.tp.css HTTP/1.1" 200 11156
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/css/plugins/colorbox.css HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [29/Jul/2019:13:35:25 +0800] "GET /mvc/css/plugins/fullcalendar.css HTTP/1.1" 200 12406
